gene	Mutation Type	dead	alive	percentage
OR2A12	Missense_Mutation	4.0	3.0	57.14285714285714
GGT3P	RNA	3.0	13.0	18.75
SPTBN1	Missense_Mutation	2.0	8.0	20.0
ABCC6P1	RNA	0.0	5.0	0.0
SPG11	Missense_Mutation	3.0	3.0	50.0
ZNF609	Missense_Mutation	3.0	4.0	42.857142857142854
WNK2	Silent	5.0	0.0	100.0
CBX4	Missense_Mutation	0.0	5.0	0.0
CAPN11	Missense_Mutation	3.0	3.0	50.0
RP11-69H14.6	RNA	4.0	6.0	40.0
RPRD2	Missense_Mutation	1.0	4.0	20.0
DNAH8	Missense_Mutation	14.0	16.0	46.666666666666664
NIT2	Missense_Mutation	2.0	3.0	40.0
LAMC1	Missense_Mutation	2.0	3.0	40.0
KRT1	Missense_Mutation	2.0	3.0	40.0
GABRA1	Missense_Mutation	4.0	6.0	40.0
ZNF646	Missense_Mutation	1.0	4.0	20.0
KRT1	In_Frame_Del	0.0	5.0	0.0
POM121L9P	RNA	1.0	18.0	5.263157894736842
OSMR	Missense_Mutation	2.0	3.0	40.0
DSP	Missense_Mutation	7.0	16.0	30.434782608695656
TMC2	Missense_Mutation	3.0	4.0	42.857142857142854
PPP1R26	Missense_Mutation	4.0	4.0	50.0
PAPPA2	Missense_Mutation	5.0	5.0	50.0
FOXN4	Missense_Mutation	1.0	5.0	16.666666666666664
NCAPG2	Missense_Mutation	1.0	4.0	20.0
CACNA2D2	Silent	3.0	2.0	60.0
L1CAM	Silent	1.0	4.0	20.0
MIER2	Missense_Mutation	2.0	5.0	28.57142857142857
PTPRC	Silent	3.0	3.0	50.0
TPTE2P1	RNA	2.0	5.0	28.57142857142857
FUT5	Missense_Mutation	3.0	2.0	60.0
ATG2B	Missense_Mutation	0.0	5.0	0.0
NUMA1	Silent	3.0	2.0	60.0
L1CAM	Missense_Mutation	6.0	7.0	46.15384615384615
EXPH5	Missense_Mutation	5.0	8.0	38.46153846153847
KIAA2022	Missense_Mutation	3.0	9.0	25.0
OR4C15	Missense_Mutation	1.0	7.0	12.5
CELSR1	Missense_Mutation	6.0	7.0	46.15384615384615
NF1	Missense_Mutation	8.0	9.0	47.05882352941176
PPARGC1A	Silent	0.0	5.0	0.0
MAP7D3	Silent	2.0	4.0	33.33333333333333
LOC645752	Missense_Mutation	6.0	1.0	85.71428571428571
CFHR5	Missense_Mutation	2.0	6.0	25.0
RINT1	Missense_Mutation	1.0	5.0	16.666666666666664
PNPLA7	Missense_Mutation	1.0	4.0	20.0
GABRA4	Missense_Mutation	3.0	4.0	42.857142857142854
RIMBP2	Missense_Mutation	5.0	4.0	55.55555555555556
